Title,playerNum,Online,Genre,Publisher,RS,Sales,UP,Console,AgeRating,Year
Pirates of the Caribbean: Dead Man's Chest,1,TRUE,Action,,63,0.24,11.95,Nintendo DS,E,2006
NFL Street 3,1,TRUE,"Action,Sports",EA,68,0.24,14.95,Sony PSP,T,2006
Syphon Filter: Dark Mirror,1,TRUE,Action,Sony,87,0.24,12.95,Sony PSP,M,2006
NBA 07,4,TRUE,Sports,Sony,63,0.23,6.95,PlayStation 3,T,2006
Ridge Racer 7,2,TRUE,Racing / Driving,"Namco,Sony",78,0.23,19.95,PlayStation 3,E,2006
The Outfit,2,TRUE,Action,THQ,70,0.23,14.95,X360,E,2006
Elebits,4,TRUE,Action,Konami,75,0.22,14.95,Nintendo Wii,T,2006
Tony Hawk's Downhill Jam,1,TRUE,"Racing / Driving,Sports",Activision,76,0.22,14.95,Nintendo DS,T,2006
The Sims 2: Pets,1,TRUE,Simulation,EA,57,0.21,17.95,Sony PSP,T,2006
Tiger Woods PGA Tour 07,1,TRUE,Sports,EA,78,0.21,12.95,Sony PSP,E,2006
Thrillville,1,TRUE,"Simulation,Strategy",Atari,72,0.2,14.95,Sony PSP,E,2006
The Godfather: The Game,1,TRUE,Action,EA,77,0.2,17.95,X360,T,2006
Rampage: Total Destruction,4,TRUE,Action,Midway,46,0.19,16.95,Nintendo Wii,E,2006
College Hoops 2K7,4,TRUE,Sports,2K,82,0.19,6.95,X360,T,2006
Far Cry: Instincts - Predator,4,TRUE,Action,Ubisoft,78,0.19,17.95,X360,E,2006
Full Auto,2,TRUE,"Action,Racing / Driving",Sega,70,0.19,16.95,X360,E,2006
Age of Empires: The Age of Kings,1,TRUE,Strategy,,80,0.19,17.95,Nintendo DS,T,2006
Need for Speed: Carbon - Own the City,1,TRUE,"Action,Racing / Driving",EA,70,0.19,14.95,Nintendo DS,T,2006
Brothers in Arms: D-Day,1,TRUE,Action,Ubisoft,65,0.19,6.95,Sony PSP,T,2006
Family Guy Video Game!,1,TRUE,Action,2K,51,0.19,19.95,Sony PSP,M,2006
Superman Returns,1,TRUE,Action,EA,51,0.19,7.95,X360,E,2006
Over G Fighters,2,TRUE,Simulation,Ubisoft,49,0.18,17.95,X360,E,2006
Final Fantasy XI Online,1,TRUE,"Action,Role-Playing (RPG)",SquareEnix,66,0.18,4.95,X360,E,2006
Mystery Dungeon: Shiren the Wanderer,1,TRUE,"Action,Role-Playing (RPG)",Sega,69,0.17,17.95,Nintendo DS,T,2006
Phoenix Wright: Ace Attorney - Justice for All,1,TRUE,"Adventure,Simulation",Capcom,76,0.17,13.95,Nintendo DS,E,2006
Justice League Heroes,1,TRUE,Action,,72,0.17,17.95,Sony PSP,M,2006
Valhalla Knights,1,TRUE,"Action,Role-Playing (RPG)",,53,0.17,16.95,Sony PSP,T,2006
Genji: Days of the Blade,1,TRUE,"Action,Role-Playing (RPG)",Sony,55,0.17,14.95,PlayStation 3,T,2006
Top Spin 2,4,TRUE,Sports,2K,75,0.16,12.95,X360,T,2006
Field Commander,2,TRUE,Strategy,"Sony,Ubisoft",77,0.16,14.95,Sony PSP,T,2006
Children of Mana,1,TRUE,"Action,Role-Playing (RPG)","Nintendo,SquareEnix",65,0.16,16.95,Nintendo DS,E,2006
Valkyrie Profile: Lenneth,1,TRUE,Role-Playing (RPG),SquareEnix,80,0.16,22.95,Sony PSP,E,2006
Monster House,1,TRUE,Action,THQ,62,0.15,14.95,Nintendo DS,M,2006
Enchanted Arms,1,TRUE,Role-Playing (RPG),Ubisoft,69,0.15,17.95,X360,E,2006
NHL 07,4,TRUE,Sports,EA,76,0.14,12.95,Sony PSP,M,2006
Bust-a-Move Deluxe,2,TRUE,Strategy,,73,0.14,14.95,Sony PSP,M,2006
Full Auto 2: Battlelines,2,TRUE,"Action,Racing / Driving",Sega,67,0.14,14.95,PlayStation 3,T,2006
Blitz: The League,2,TRUE,Sports,Midway,69,0.14,14.95,X360,T,2006
Star Trek Legacy,2,TRUE,"Action,Strategy",Ubisoft,64,0.14,24.95,X360,E,2006
Eragon,1,TRUE,"Action,Role-Playing (RPG)",,63,0.14,16.95,Nintendo DS,E,2006
Master of Illusion,1,TRUE,Strategy,Nintendo,69,0.14,14.95,Nintendo DS,E,2006
Mega Man ZX,1,TRUE,Action,Capcom,76,0.14,19.95,Nintendo DS,T,2006
Untold Legends: The Warrior's Code,1,TRUE,"Action,Role-Playing (RPG)","Sony,Ubisoft",65,0.14,14.95,Sony PSP,T,2006
Super Swing Golf,1,TRUE,Sports,,72,0.14,16.95,Nintendo Wii,T,2006
X-Men: The Official Game,1,TRUE,Action,Activision,52,0.14,14.95,X360,M,2006
Untold Legends: Dark Kingdom,2,TRUE,"Action,Role-Playing (RPG)","EA,Sony",58,0.13,16.95,PlayStation 3,E,2006
Happy Feet,2,TRUE,Action,Midway,46,0.13,14.95,Nintendo Wii,E,2006
Open Season,1,TRUE,Action,Ubisoft,72,0.13,17.95,Nintendo DS,T,2006
Dungeon Siege: Throne of Agony,1,TRUE,Role-Playing (RPG),2K,74,0.13,24.95,Sony PSP,E,2006
LocoRoco,1,TRUE,"Action,Strategy",Sony,83,0.13,17.95,Sony PSP,T,2006
Dead or Alive: Xtreme 2,1,TRUE,"Racing / Driving,Sports",,53,0.13,14.95,X360,T,2006
Fuzion Frenzy 2,4,TRUE,"Action,Sports",Microsoft,49,0.12,14.95,X360,T,2006
MotoGP '06,4,TRUE,"Racing / Driving,Simulation,Sports",THQ,80,0.12,14.95,X360,M,2006
Lumines II,2,TRUE,Strategy,,81,0.12,14.95,Sony PSP,E,2006
Major League Baseball 2K6,1,TRUE,Sports,2K,69,0.12,4.95,Sony PSP,M,2006
Star Wars: Lethal Alliance,1,TRUE,Action,Ubisoft,61,0.12,17.95,Sony PSP,T,2006
Worms: Open Warfare,1,TRUE,"Action,Strategy",THQ,70,0.12,17.95,Sony PSP,T,2006
Eragon,4,TRUE,Action,,59,0.11,14.95,Sony PSP,E,2006
Metal Slug Anthology,4,TRUE,Action,,73,0.11,16.95,Nintendo Wii,T,2006
Open Season,4,TRUE,Action,Ubisoft,59,0.11,14.95,X360,E,2006
Tom Clancy's Splinter Cell: Double Agent,2,TRUE,Action,Ubisoft,61,0.11,17.95,Nintendo Wii,T,2006
Avatar: The Last Airbender,1,TRUE,Action,THQ,57,0.11,17.95,Sony PSP,E,2006
Lemmings,1,TRUE,Strategy,Sony,76,0.11,17.95,Sony PSP,E,2006
Mega Man Powered Up,1,TRUE,Action,Capcom,82,0.11,16.95,Sony PSP,E,2006
College Hoops 2K6,1,TRUE,Sports,2K,70,0.11,6.95,X360,E,2006
Dynasty Warriors 5: Empires,2,TRUE,"Action,Role-Playing (RPG),Strategy",,61,0.1,14.95,X360,T,2006
Magical Starsign,1,TRUE,Role-Playing (RPG),Nintendo,69,0.1,9.95,Nintendo DS,E,2006
Resident Evil: Deadly Silence,1,TRUE,Action,Capcom,71,0.1,17.95,Nintendo DS,E,2006
X-Men: The Official Game,1,TRUE,Action,Activision,50,0.1,14.95,Nintendo DS,E,2006
Cabela's African Safari,1,TRUE,Sports,Activision,53,0.1,17.95,X360,E,2006
Cabela's Alaskan Adventures,1,TRUE,Sports,Activision,48,0.1,17.95,X360,E,2006
Armored Core 4,2,TRUE,Action,Sega,65,0.09,19.95,PlayStation 3,E,2006
Eragon,2,TRUE,Action,,48,0.09,12.95,X360,T,2006
LostMagic,1,TRUE,"Action,Role-Playing (RPG)",Ubisoft,68,0.09,14.95,Nintendo DS,T,2006
Magnetica,1,TRUE,"Action,Strategy",Nintendo,68,0.09,17.95,Nintendo DS,T,2006
Def Jam Fight for NY: The Takeover,1,TRUE,Action,EA,79,0.09,17.95,Sony PSP,T,2006
NASCAR 07,1,TRUE,"Racing / Driving,Simulation",EA,66,0.09,24.95,Sony PSP,T,2006
The Ant Bully,1,TRUE,Action,Midway,45,0.09,16.95,Nintendo Wii,T,2006
Just Cause,1,TRUE,"Action,Racing / Driving",Eidos,73,0.09,16.95,X360,E,2006
Onechanbara: Bikini Samurai Squad,1,TRUE,Action,,39,0.09,19.95,X360,E,2006
Phantasy Star Universe,1,TRUE,Role-Playing (RPG),Sega,64,0.09,24.95,X360,E,2006
Project Sylpheed: Arc of Deception,1,TRUE,Action,"Microsoft,SquareEnix",64,0.09,14.95,X360,T,2006
Winning Eleven: Pro Evolution Soccer 2007,6,TRUE,Sports,Konami,80,0.08,11.95,X360,E,2006
Kororinpa: Marble Mania,2,TRUE,"Action,Strategy",Nintendo,69,0.08,17.95,Nintendo Wii,T,2006
Digimon World DS,1,TRUE,Role-Playing (RPG),Namco,49,0.08,27.95,Nintendo DS,E,2006
Justice League Heroes,1,TRUE,Action,,43,0.08,17.95,Nintendo DS,E,2006
Innocent Life: A Futuristic Harvest Moon,1,TRUE,"Role-Playing (RPG),Simulation,Strategy",,67,0.08,17.95,Sony PSP,E,2006
Power Stone Collection,1,TRUE,Action,Capcom,74,0.08,14.95,Sony PSP,M,2006
EA Replay,4,TRUE,"Action,Role-Playing (RPG),Simulation,Sports,Strategy",EA,56,0.07,14.95,Sony PSP,E,2006
Open Season,4,TRUE,Action,Ubisoft,49,0.07,17.95,Nintendo Wii,M,2006
Samurai Warriors 2,4,TRUE,Action,,52,0.07,14.95,X360,M,2006
Far Cry: Vengeance,2,TRUE,Action,Ubisoft,38,0.07,16.95,Nintendo Wii,E,2006
Import Tuner Challenge,2,TRUE,Racing / Driving,Ubisoft,54,0.07,17.95,X360,E,2006
Contact,1,TRUE,"Adventure,Role-Playing (RPG)",,73,0.07,14.95,Nintendo DS,E,2006
Touch Detective,1,TRUE,Adventure,,60,0.07,14.95,Nintendo DS,T,2006
FIFA Street 2,1,TRUE,Sports,EA,58,0.07,17.95,Sony PSP,T,2006
007: From Russia with Love,1,TRUE,"Action,Racing / Driving",EA,61,0.07,17.95,Sony PSP,T,2006
PaRappa the Rapper,1,TRUE,Action,Sony,67,0.07,12.95,Sony PSP,T,2006
Riviera: The Promised Land,1,TRUE,Role-Playing (RPG),,68,0.07,17.95,Sony PSP,M,2006
Samurai Warriors: State of War,1,TRUE,Action,,64,0.07,17.95,Sony PSP,E,2006
Viewtiful Joe: Red Hot Rumble,1,TRUE,Action,Capcom,63,0.07,14.95,Sony PSP,E,2006
Ice Age 2: The Meltdown,1,TRUE,Action,,66,0.07,17.95,Nintendo Wii,E,2006
Rumble Roses XX,4,TRUE,"Action,Sports",Konami,62,0.06,17.95,X360,E,2006
Bionicle Heroes,1,TRUE,Action,Eidos,72,0.06,16.95,Nintendo DS,T,2006
Deep Labyrinth,1,TRUE,Role-Playing (RPG),,57,0.06,10.95,Nintendo DS,T,2006
Blade Dancer: Lineage of Light,1,TRUE,Role-Playing (RPG),,60,0.06,16.95,Sony PSP,E,2006
Every Extend Extra,1,TRUE,Action,,74,0.06,11.95,Sony PSP,E,2006
Ultimate Ghosts 'N' Goblins,1,TRUE,Action,Capcom,72,0.06,17.95,Sony PSP,E,2006
Xiaolin Showdown,1,TRUE,Action,Konami,44,0.06,14.95,Sony PSP,M,2006
Bionicle Heroes,1,TRUE,Action,Eidos,59,0.06,14.95,X360,T,2006
Bullet Witch,1,TRUE,Action,Atari,55,0.06,16.95,X360,M,2006
Death Jr. II: Root of Evil,2,TRUE,Action,Konami,68,0.05,14.95,Sony PSP,E,2006
Alex Rider: Stormbreaker,1,TRUE,"Action,Adventure",THQ,48,0.05,12.95,Nintendo DS,M,2006
Cartoon Network Racing,1,TRUE,Racing / Driving,,55,0.05,14.95,Nintendo DS,E,2006
Guilty Gear: Dust Strikers,1,TRUE,Action,,60,0.05,14.95,Nintendo DS,E,2006
Gunpey DS,1,TRUE,Strategy,Namco,70,0.05,12.95,Nintendo DS,E,2006
Lara Croft Tomb Raider: Legend,1,TRUE,"Action,Racing / Driving",Eidos,58,0.05,17.95,Nintendo DS,E,2006
Worms: Open Warfare,1,TRUE,"Action,Strategy",THQ,64,0.05,17.95,Nintendo DS,E,2006
Mercury Meltdown,1,TRUE,Strategy,,78,0.05,12.95,Sony PSP,M,2006
MTX Mototrax,1,TRUE,"Racing / Driving,Sports",Activision,67,0.05,19.95,Sony PSP,M,2006
Snoopy vs. the Red Baron,1,TRUE,Action,Namco,76,0.05,17.95,Sony PSP,E,2006
Super Monkey Ball Adventure,1,TRUE,"Action,Racing / Driving",Sega,56,0.05,24.95,Sony PSP,E,2006
Ys VI: The Ark of Napishtim,1,TRUE,"Action,Role-Playing (RPG)",Konami,64,0.05,16.95,Sony PSP,E,2006
Bomberman Land Touch!,1,TRUE,Action,,78,0.04,24.95,Nintendo DS,E,2006
Point Blank DS,1,TRUE,Action,"Atari,Namco",66,0.04,17.95,Nintendo DS,M,2006
Scurge: Hive,1,TRUE,Action,,70,0.04,8.95,Nintendo DS,M,2006
Star Trek: Tactical Assault,1,TRUE,"Action,Strategy",Ubisoft,63,0.04,17.95,Nintendo DS,T,2006
Tao's Adventure: Curse of the Demon Seal,1,TRUE,Role-Playing (RPG),Konami,50,0.04,14.95,Nintendo DS,E,2006
Ford Bold Moves Street Racing,1,TRUE,Racing / Driving,Eidos,52,0.04,17.95,Sony PSP,T,2006
Gitaroo Man Lives!,1,TRUE,Simulation,,80,0.04,22.95,Sony PSP,E,2006
Gradius Collection,1,TRUE,Action,Konami,76,0.04,17.95,Sony PSP,T,2006
The Legend of Heroes II: Prophecy of the Moonli...,1,TRUE,Role-Playing (RPG),Namco,63,0.04,17.95,Sony PSP,E,2006
Pac-Man World Rally,1,TRUE,"Action,Racing / Driving",Namco,51,0.04,17.95,Sony PSP,T,2006
Bomberman: Act Zero,1,TRUE,Action,Konami,34,0.04,12.95,X360,E,2006
Earth Defense Force 2017,2,TRUE,Action,,69,0.03,17.95,X360,T,2006
WarTech: Senko no Ronde,2,TRUE,Action,Ubisoft,60,0.03,12.95,X360,T,2006
MechAssault: Phantom War,1,TRUE,Action,,66,0.03,12.95,Nintendo DS,E,2006
Astonishia Story,1,TRUE,"Role-Playing (RPG),Strategy",Ubisoft,48,0.03,16.95,Sony PSP,T,2006
B-Boy,1,TRUE,Action,Sony,50,0.03,17.95,Sony PSP,E,2006
BattleZone,1,TRUE,Action,Atari,57,0.03,14.95,Sony PSP,E,2006
Bounty Hounds,1,TRUE,"Action,Strategy",Namco,63,0.03,17.95,Sony PSP,T,2006
Bubble Bobble Evolution,1,TRUE,Action,,47,0.03,12.95,Sony PSP,E,2006
MotoGP,1,TRUE,"Racing / Driving,Sports",Sony,69,0.03,32.95,Sony PSP,E,2006
OutRun 2006: Coast 2 Coast,1,TRUE,Racing / Driving,Sega,82,0.03,17.95,Sony PSP,E,2006
Warhammer: Battle for Atluma,1,TRUE,Strategy,Namco,55,0.03,17.95,Sony PSP,M,2006
SBK: Snowboard Kids,1,TRUE,"Action,Sports",,63,0.02,19.95,Nintendo DS,E,2006
Tenchu: Dark Secret,1,TRUE,Action,Nintendo,37,0.02,14.95,Nintendo DS,E,2006
Dungeon Maker: Hunting Ground,1,TRUE,"Action,Role-Playing (RPG)",,70,0.02,14.95,Sony PSP,E,2006
Metal Gear Solid: Digital Graphic Novel,1,TRUE,Adventure,Konami,78,0.02,17.95,Sony PSP,T,2006
Star Trek: Tactical Assault,1,TRUE,"Action,Strategy",Ubisoft,64,0.02,17.95,Sony PSP,E,2006
Micro Machines V4,2,TRUE,"Action,Racing / Driving",,61,0.01,17.95,Sony PSP,E,2006
Platypus,2,TRUE,Action,,59,0.01,14.95,Sony PSP,T,2006
Custom Robo Arena,1,TRUE,"Action,Role-Playing (RPG)",Nintendo,74,0.01,17.95,Nintendo DS,T,2006
Gurumin: A Monstrous Adventure,1,TRUE,Action,,78,0.01,13.95,Sony PSP,T,2006
Spider-Man 3,1,TRUE,Action,Ubisoft,58,0.01,6.95,Sony PSP,M,2006
Wii Fit,1,TRUE,"Educational,Sports",Nintendo,80,9.6,24.95,Nintendo Wii,T,2007
Halo 3,4,TRUE,Action,Microsoft,94,8.03,24.95,X360,E,2007
Call of Duty 4: Modern Warfare,4,TRUE,Action,Activision,94,5.77,29.95,X360,E,2007
Super Mario Galaxy,2,TRUE,Action,Nintendo,97,4.94,39.95,Nintendo Wii,E,2007
Mario Party DS,1,TRUE,"Action,Strategy",Nintendo,72,4.34,27.95,Nintendo DS,T,2007
Mario Party 8,4,TRUE,"Action,Strategy",Nintendo,62,3.84,39.95,Nintendo Wii,T,2007
Guitar Hero III: Legends of Rock,2,TRUE,"Action,Simulation",Activision,85,3.28,12.95,X360,T,2007
Link's Crossbow Training,1,TRUE,Action,Nintendo,68,3.2,14.95,Nintendo Wii,E,2007
Guitar Hero III: Legends of Rock,2,TRUE,"Action,Simulation",Activision,86,3.19,49.95,Nintendo Wii,T,2007
Assassin's Creed,1,TRUE,Action,Ubisoft,81,3.17,16.95,X360,T,2007
LEGO Star Wars: The Complete Saga,2,TRUE,Action,,80,3.03,17.95,Nintendo Wii,M,2007
Call of Duty 4: Modern Warfare,4,TRUE,Action,Activision,94,2.91,24.95,PlayStation 3,E,2007
Mario & Sonic at the Olympic Games,4,TRUE,"Action,Sports","Nintendo,Sega",67,2.74,29.95,Nintendo Wii,E,2007
LEGO Star Wars: The Complete Saga,1,TRUE,"Action,Racing / Driving",,80,2.66,17.95,Nintendo DS,E,2007
Forza Motorsport 2,2,TRUE,Racing / Driving,Microsoft,90,2.48,12.95,X360,T,2007
Madden NFL 08,4,TRUE,Sports,EA,85,2.32,9.95,X360,E,2007
Guitar Hero II,2,TRUE,"Action,Simulation",Activision,92,2.04,17.95,X360,T,2007
Rock Band,4,TRUE,"Action,Simulation",,92,2.02,14.95,X360,E,2007
The Legend of Zelda: Phantom Hourglass,1,TRUE,Action,Nintendo,90,1.92,24.95,Nintendo DS,E,2007
Pokmon Mystery Dungeon: Explorers of Darkness,1,TRUE,Role-Playing (RPG),Nintendo,59,1.91,15.95,Nintendo DS,E,2007
Pokmon Mystery Dungeon: Explorers of Time,1,TRUE,Role-Playing (RPG),Nintendo,59,1.91,24.95,Nintendo DS,T,2007
Assassin's Creed,1,TRUE,Action,Ubisoft,81,1.77,17.95,PlayStation 3,T,2007
Uncharted: Drake's Fortune,1,TRUE,Action,Sony,88,1.76,24.95,PlayStation 3,T,2007
Mass Effect,1,TRUE,"Action,Role-Playing (RPG)",Microsoft,91,1.57,17.95,X360,T,2007
Cooking Mama 2: Dinner with Friends,1,TRUE,Simulation,,70,1.56,17.95,Nintendo DS,E,2007
BioShock,1,TRUE,Action,2K,96,1.52,16.95,X360,T,2007
Super Paper Mario,1,TRUE,"Action,Role-Playing (RPG)",Nintendo,85,1.5,29.95,Nintendo Wii,E,2007
Game Party,4,TRUE,Action,Midway,25,1.49,14.95,Nintendo Wii,T,2007
Ratchet & Clank: Size Matters,1,TRUE,Action,Sony,85,1.47,14.95,Sony PSP,E,2007
Dance Dance Revolution Hottest Party,4,TRUE,Action,Konami,73,1.45,17.95,Nintendo Wii,T,2007
Cooking Mama: Cook Off,2,TRUE,Simulation,,61,1.38,14.95,Nintendo Wii,M,2007
Gran Turismo 5: Prologue,2,TRUE,"Racing / Driving,Simulation",Sony,80,1.31,24.95,PlayStation 3,E,2007
Professor Layton and the Curious Village,1,TRUE,"Adventure,Educational,Strategy",Nintendo,85,1.26,23.95,Nintendo DS,E,2007
Resident Evil 4,1,TRUE,Action,Capcom,91,1.24,16.95,Nintendo Wii,T,2007
The Elder Scrolls IV: Oblivion,1,TRUE,"Action,Role-Playing (RPG)",Ubisoft,93,1.2,17.95,PlayStation 3,T,2007
Transformers: Autobots,1,TRUE,"Action,Racing / Driving",Activision,67,1.17,17.95,Nintendo DS,E,2007
Transformers: Decepticons,1,TRUE,"Action,Racing / Driving",Activision,66,1.17,17.95,Nintendo DS,M,2007
Diddy Kong Racing DS,1,TRUE,"Racing / Driving,Sports",Nintendo,63,1.16,24.95,Nintendo DS,T,2007
Big Brain Academy: Wii Degree,8,TRUE,Action,Nintendo,68,1.1,19.95,Nintendo Wii,M,2007
Need for Speed: ProStreet,2,TRUE,Racing / Driving,EA,72,1.1,16.95,X360,T,2007
Deal or No Deal,1,TRUE,Strategy,,20,1.1,11.95,Nintendo DS,E,2007
LEGO Star Wars: The Complete Saga,2,TRUE,Action,,80,1.09,17.95,X360,T,2007
Sonic and the Secret Rings,4,TRUE,Action,Sega,69,1.08,16.95,Nintendo Wii,E,2007
The Orange Box,1,TRUE,Action,,96,1.06,17.95,X360,E,2007
Crackdown,1,TRUE,"Action,Racing / Driving,Role-Playing (RPG)",Microsoft,83,1.02,14.95,X360,M,2007
Rock Band,4,TRUE,"Action,Simulation",,92,1.01,14.95,PlayStation 3,M,2007
Tiger Woods PGA Tour 08,4,TRUE,Sports,EA,72,1,17.95,Nintendo Wii,T,2007
WWE Smackdown vs. Raw 2008,4,TRUE,Sports,THQ,71,0.96,12.95,X360,T,2007
Madden NFL 08,4,TRUE,Sports,EA,81,0.94,9.95,PlayStation 3,T,2007
Call of Duty 4: Modern Warfare,1,TRUE,Action,Activision,75,0.94,19.95,Nintendo DS,T,2007
MySims,1,TRUE,"Simulation,Strategy",EA,68,0.94,17.95,Nintendo Wii,T,2007
Mario Strikers Charged,4,TRUE,"Action,Sports",Nintendo,79,0.93,29.95,Nintendo Wii,E,2007
Star Wars Battlefront: Renegade Squadron,1,TRUE,Action,,73,0.93,16.95,Sony PSP,T,2007
Flash Focus: Vision Training in Minutes a Day,1,TRUE,Action,Nintendo,59,0.91,17.95,Nintendo DS,T,2007
Metroid Prime 3: Corruption,1,TRUE,Action,Nintendo,90,0.91,19.95,Nintendo Wii,T,2007
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,1,TRUE,Action,Ubisoft,86,0.89,14.95,X360,T,2007
Madden NFL 08,4,TRUE,Sports,EA,76,0.86,12.95,Nintendo Wii,M,2007
Ratchet & Clank Future: Tools of Destruction,1,TRUE,Action,Sony,89,0.86,22.95,PlayStation 3,E,2007
LEGO Star Wars: The Complete Saga,2,TRUE,Action,,80,0.85,17.95,PlayStation 3,M,2007
Rayman Raving Rabbids 2,4,TRUE,Action,Ubisoft,67,0.84,17.95,Nintendo Wii,T,2007
NBA 2K8 ,1,TRUE,Sports,2K,81,0.83,9.95,X360,M,2007
Namco Museum DS,1,TRUE,Action,Namco,67,0.8,17.95,Nintendo DS,E,2007
Need for Speed: ProStreet,2,TRUE,Racing / Driving,EA,73,0.75,16.95,PlayStation 3,T,2007
Blazing Angels: Squadrons of WWII,2,TRUE,Action,Ubisoft,57,0.75,16.95,Nintendo Wii,E,2007
Drawn to Life,1,TRUE,Action,THQ,73,0.75,17.95,Nintendo DS,T,2007
EA Playground,4,TRUE,"Action,Racing / Driving,Sports",EA,66,0.72,17.95,Nintendo Wii,T,2007
Major League Baseball 2K7,2,TRUE,Sports,2K,79,0.7,9.95,X360,E,2007
Resident Evil: The Umbrella Chronicles,2,TRUE,Action,"Capcom,Nintendo",75,0.69,19.95,Nintendo Wii,T,2007
NCAA Football 08,2,TRUE,Sports,EA,81,0.68,9.95,X360,E,2007
Spectrobes,1,TRUE,"Action,Strategy",,63,0.68,14.95,Nintendo DS,E,2007
The Sims 2: Castaway,1,TRUE,Simulation,EA,66,0.66,16.95,Nintendo DS,M,2007
WWE Smackdown vs. Raw 2008,6,TRUE,Sports,THQ,74,0.64,14.95,PlayStation 3,E,2007
Madden NFL 08,1,TRUE,Sports,EA,75,0.64,9.95,Sony PSP,E,2007
NBA Live 08,4,TRUE,Sports,EA,73,0.6,9.95,PlayStation 3,M,2007
The Simpsons Game,1,TRUE,Action,EA,69,0.6,17.95,Nintendo DS,M,2007
Ace Combat 6: Fires of Liberation,1,TRUE,"Action,Simulation",Namco,80,0.58,19.95,X360,E,2007
Heavenly Sword,1,TRUE,Action,Sony,79,0.57,24.95,PlayStation 3,E,2007
Ninja Gaiden Sigma,1,TRUE,Action,,88,0.57,19.95,PlayStation 3,E,2007
Ben 10: Protector of the Earth,1,TRUE,Action,,63,0.57,16.95,Nintendo Wii,T,2007
The Simpsons Game,2,TRUE,Action,EA,71,0.55,17.95,X360,T,2007
CrossworDS,1,TRUE,"Educational,Strategy",,67,0.53,17.95,Nintendo DS,T,2007
Sonic Rush Adventure,1,TRUE,"Action,Sports",Sega,78,0.52,24.95,Nintendo DS,T,2007
Tiger Woods PGA Tour 08,4,TRUE,Sports,EA,80,0.51,14.95,X360,T,2007
Tony Hawk's Proving Ground,2,TRUE,Sports,Activision,72,0.51,16.95,X360,T,2007
Call of Duty: Roads to Victory,1,TRUE,Action,Activision,64,0.51,24.95,Sony PSP,E,2007
Transformers: The Game,1,TRUE,Action,Activision,52,0.51,14.95,X360,M,2007
NBA 2K8,7,TRUE,Sports,2K,81,0.5,9.95,PlayStation 3,M,2007
Medal of Honor: Heroes 2,1,TRUE,Action,EA,69,0.5,17.95,Sony PSP,E,2007
Spider-Man 3,1,TRUE,Action,Activision,63,0.5,11.95,X360,E,2007
Tom Clancy's Rainbow Six: Vegas,2,TRUE,Action,Ubisoft,86,0.49,16.95,PlayStation 3,E,2007
Need for Speed: ProStreet,2,TRUE,Racing / Driving,EA,61,0.49,16.95,Nintendo Wii,M,2007
NBA LIVE 08 ,1,TRUE,Sports,EA,73,0.49,9.95,X360,T,2007
Dance Dance Revolution Universe 2,4,TRUE,Action,Konami,65,0.48,19.95,X360,T,2007
MX vs. ATV Untamed,2,TRUE,Racing / Driving,THQ,70,0.48,17.95,X360,T,2007
Final Fantasy IV,1,TRUE,Role-Playing (RPG),SquareEnix,85,0.48,17.95,Nintendo DS,T,2007
NBA Street Homecourt,4,TRUE,Sports,EA,80,0.47,7.95,X360,T,2007
The Simpsons Game,2,TRUE,Action,EA,64,0.47,17.95,Nintendo Wii,T,2007
Winter Sports: The Ultimate Challenge,1,TRUE,"Racing / Driving,Sports",,52,0.47,16.95,Nintendo Wii,E,2007
WWE Smackdown vs. Raw 2008,4,TRUE,Sports,THQ,68,0.46,16.95,Sony PSP,E,2007
Tiger Woods PGA Tour 07,4,TRUE,Sports,EA,71,0.46,17.95,Nintendo Wii,T,2007
Crash of the Titans,1,TRUE,Action,,73,0.46,17.95,Nintendo DS,T,2007
Sonic Rivals 2,1,TRUE,Action,Sega,60,0.46,22.95,Sony PSP,M,2007
Boogie,2,TRUE,Action,EA,57,0.45,17.95,Nintendo Wii,T,2007
Medal of Honor: Airborne,2,TRUE,Action,EA,73,0.45,17.95,X360,E,2007
The Sims 2: Castaway,1,TRUE,Simulation,EA,73,0.45,17.95,Nintendo Wii,T,2007
Spider-Man 3,1,TRUE,Action,Activision,53,0.45,14.95,Nintendo Wii,T,2007
Lost Odyssey,1,TRUE,Role-Playing (RPG),Microsoft,78,0.45,19.95,X360,T,2007
Bee Movie Game,1,TRUE,Adventure,Activision,58,0.44,17.95,Nintendo DS,E,2007
Spider-Man 3,1,TRUE,Action,Activision,79,0.44,16.95,Nintendo DS,M,2007
Final Fantasy Tactics,1,TRUE,"Role-Playing (RPG),Strategy",SquareEnix,88,0.44,17.95,Sony PSP,M,2007
Endless Ocean,1,TRUE,Simulation,Nintendo,72,0.44,24.95,Nintendo Wii,E,2007
SingStar,6,TRUE,Simulation,Sony,82,0.43,14.95,PlayStation 3,E,2007
Ratatouille,1,TRUE,Action,THQ,62,0.43,19.95,Nintendo Wii,T,2007
The Sims 2: Pets,1,TRUE,Simulation,EA,65,0.43,22.95,Nintendo Wii,T,2007
Two Worlds,1,TRUE,"Action,Role-Playing (RPG)",,50,0.43,14.95,X360,M,2007
Crash of the Titans,2,TRUE,Action,,69,0.42,17.95,Nintendo Wii,E,2007
Sonic the Hedgehog,2,TRUE,Action,Sega,46,0.41,14.95,X360,T,2007
